Card_Holder_Name,Card_Number,CVV,Expiry_Date,City
Carlee Mattern,3.57E+15,389,26-May,CearÌÁ Mirim
Denise R Shannon,3.58E+15,894,26-Jul,Caxias
Verla Clanton,5.48E+15,527,18-May,Caucaia
Ramon B Rowe,4.03E+15,253,26-Dec,CatolÌ© do Rocha
Yolando U Barre,3.53E+15,304,19-Sep,Catende
Scott G Webster,4.45E+15,332,30-May,Castanhal
Tess J Hannah,6.01E+15,816,Jan-35,Cascavel
Lisa E Avery,6.01E+15,957,21-Dec,Caruaru
Boris J Mackie,3.76E+14,7482,Sep-32,Carpina
Tom G Spence,3.01E+13,406,15-Dec,Carolina
Else M Free,3.77E+14,6051,Oct-33,CapitÌ£o PoÌ¤o
Kathryn Michael,4.37E+15,526,29-Apr,Capanema
Zina Bobo,3.57E+15,584,15-Jul,CanindÌ©
Jesse Rivas,6.23E+15,351,25-Feb,Canguaretama
Delores Hefner,3.59E+15,388,19-Mar,Campos Sales
Travis S Mcgowan,5.49E+15,632,29-Sep,Campo Maior
Holly N Chaffee,3.10E+13,506,21-Oct,Campo Alegre
Diane T Landry,6.23E+15,720,Sep-32,Campina Grande
Louis S Lor,4.91E+15,157,11-Nov,Camocim
Janet V Gordon,3.54E+15,762,29-Oct,CametÌÁ
Kena Y Russo,3.56E+15,245,20-Sep,Cajueiro
Bertha H Howe,3.04E+13,499,20-Apr,Cajazeiras
Ellsworth Schiff,4.46E+15,18,17-Aug,CaicÌ_
Zachary N Wagner,3.80E+14,2815,15-Jan,CabrobÌ_
Eloise K Charlton,4.41E+15,325,24-Aug,Cabo
Virginia R Herman,3.57E+15,206,14-Sep,Cabedelo
Domenic L Forsyth,3.40E+14,5920,25-Mar,Buriti Bravo
Bradley Lynn,3.79E+14,8123,27-May,BuÌ_que
Benita Z Mark,4.03E+15,482,24-Jan,Breves
Wanda Mason,5.14E+15,504,19-Jan,Brejo Santo
Von B Kellam,6.01E+15,366,Apr-33,Brejo da Madre de Deus
Julie B Little,3.56E+15,891,12-Jul,BraganÌ¤a
Paz Scheller,3.06E+13,87,25-Apr,Bom Conselho
Anna Patrick,4.06E+15,863,25-Mar,Boa Viagem
Boris V Powell,3.48E+14,6971,24-Jun,Bezerros
Kristen G Maddox,6.01E+15,959,22-Mar,Benevides
Patricia V Talbott,3.47E+14,3070,26-Apr,Belo Jardim
Vivian Taylor,5.37E+15,499,20-Dec,BelÌ©m
Bill B Mchugh,3.02E+13,232,14-Nov,BelÌ©m
Oscar B Stevenson,4.98E+15,988,25-Jul,Beberibe
Renaldo W Mcfarlin,5.33E+15,137,30-Aug,Bayeux
Clarence Z Forbes,3.55E+15,554,26-Oct,BaturitÌ©
Jesusita N Konrad,5.22E+15,927,21-Sep,Barreiros
Bernice Zamora,6.01E+15,312,21-Jun,Barreirinhas
Ryan Cohn,3.58E+15,978,20-Sep,Barras
Anthony Velasquez,3.76E+14,2468,23-Feb,Barra do Corda
Malika Bloomfield,3.76E+14,4796,27-May,Barcarena
Barbara D Rich,3.94E+13,78,23-Mar,Barbalha
Virgilio Guess,3.70E+14,9520,28-Aug,Balsas
Clyde W Higgins,3.09E+13,48,18-May,Bacabal
Merry V Alston,6.01E+15,441,Jun-34,Augusto CorrÌ»a
Amy K Massey,3.77E+14,5314,24-May,Atalaia
Berniece X Garry,4.33E+15,85,23-Jun,Areia Branca
Alex Cardenas,3.56E+15,604,27-Mar,Arcoverde
Allan L Guenther,3.70E+14,3272,24-Dec,Araripina
Ronald R Barlow,3.43E+14,6203,18-Sep,Arari
Demetria I Floyd,3.72E+14,1556,12-Dec,Arapiraca
Leslie Foley,4.14E+15,678,Nov-32,AraguaÌ_na
Julio P Ferree,3.03E+13,342,22-May,Aracati
Edward Mcclain,3.54E+15,162,19-Aug,Aquiraz
Blake Y Carillo,4.79E+15,957,21-Mar,Apodi
Paula P Morris,5.21E+15,862,18-May,Ananindeua
Vanna W Gasper,5.21E+15,134,23-Aug,Amaraji
Lawrence Noble,5.37E+15,532,25-Feb,Altos
Caren I Stringer,5.48E+15,270,16-Aug,Altamira
Jesse D Conner,6.01E+15,874,29-Sep,Almeirim
Bret I Lafond,3.41E+14,8626,13-Aug,Alenquer
Carl I Long,4.73E+15,499,19-Oct,Alagoa Grande
Eunice D Kammerer,4.57E+15,254,26-Jul,Ìguas Belas
Nathan P Weaver,6.01E+15,770,Mar-33,Ìgua Preta
Alan A Peeples,3.02E+13,978,11-Jul,Afogados da Ingazeira
Craig Oliver,3.09E+13,508,27-Feb,AÌ¤u
Leigh Kimber,3.41E+14,9453,21-Apr,Acopiara
Bradley Holloway,6.01E+15,93,18-Jun,AcaraÌ¼
Cordell P Handy,3.46E+14,7112,15-Sep,Abreu e Lima
Leonard E Keller,3.75E+14,1872,24-Sep,Abaetetuba
Zelda V Hollenbeck,3.55E+15,61,9-Jun,Xique Xique
Betty B Gamble,3.54E+15,925,30-Jan,XanxerÌ»
Lon Majors,5.11E+15,23,13-Jan,Votuporanga
Lillian D Richardson,3.40E+14,7114,Sep-35,Votorantim
Dale F Havens,6.50E+15,621,26-Sep,Volta Redonda
Thelma Z Mcpherson,6.46E+15,206,13-Dec,VitÌ_ria da Conquista
Jackson V Greaves,6.01E+15,100,25-Feb,VitÌ_ria
Joel Calderon,4.36E+15,785,29-Feb,Visconde do Rio Branco
Emory R Lamar,5.27E+15,169,16-Jan,Viradouro
Ashley S Dorsey,6.01E+15,215,20-Apr,Vinhedo
Nanci Elrod,3.44E+14,8638,May-34,Vila Velha
Alexander B Short,4.40E+15,72,26-Jun,Videira
Chara Wortham,4.21E+15,610,27-Jun,ViÌ¤osa
Jerome C Barlow,6.01E+15,666,May-32,Viana
Jamar Woodford,6.01E+15,693,Feb-37,ViamÌ£o
Bruce E Delgado,6.22E+15,486,18-May,Vespasiano
Gene C Mckeever,3.59E+15,211,18-Sep,VeranÌ_polis
Kevin D Marquez,4.93E+15,110,17-Jun,Vera Cruz
Maisha Catlin,6.01E+15,206,12-Mar,Wenceslau Braz
Samuel M Cohen,4.95E+15,198,19-Jan,VenÌ¢ncio Aires
Chang L Unknow,4.84E+15,65,28-Apr,Vazante
Daniel N Dillon,4.76E+15,597,17-Mar,Vassouras
Ryan T Williford,6.01E+15,243,27-Jan,VÌÁrzea Paulista
Tim Spencer,6.01E+15,452,25-May,VÌÁrzea Grande
Tarsha X Mantooth,3.53E+15,271,21-Oct,VÌÁrzea da Palma
Larry S Kerr,3.01E+13,608,16-Jan,Varginha
Armando O Laux,3.03E+13,788,19-Sep,Vargem Grande do Sul
Leroy A Lewis,3.58E+15,559,12-Sep,ValparaÌ_so
Adeline P Frazee,6.01E+15,286,23-Jul,Valinhos
Bernice T Johnson,3.55E+15,11,26-Dec,ValenÌ¤a
Stephen Threatt,3.10E+13,62,29-Sep,ValenÌ¤a
Dawn G Hoffman,6.01E+15,76,19-Aug,Vacaria
Hae Q Cater,4.86E+15,900,19-Mar,Uruguaiana
Betty R Cervantes,3.53E+15,394,May-37,UruÌ¤uca
Dee Durand,3.73E+14,5852,27-Sep,UruaÌ¤u
Lawrence Sampson,3.55E+15,383,30-Jan,UniÌ£o da VitÌ_ria
Palmer C Braddy,5.17E+15,887,Jan-33,UnaÌ_
Jessica Heath,3.01E+13,411,Sep-31,Una
Kirby P Delarosa,5.47E+15,517,18-Jan,Umuarama
Alex N Ryan,5.32E+15,667,14-Aug,UberlÌ¢ndia
Alfonzo K Rocha,3.58E+15,995,27-Oct,Uberaba
Leonard Alvarez,5.43E+15,428,18-Mar,Ubatuba
Alice Q Lawson,4.96E+15,699,17-Sep,UbatÌ£
Daniel Y Holman,3.54E+15,241,14-Feb,Ubaitaba
Billy O Broderick,6.01E+15,502,24-Dec,UbÌÁ
Karen Mays,3.58E+15,723,30-Jun,TupanciretÌ£
Layla Colvin,3.57E+15,335,Jul-34,Tupaciguara
Monica Dale,3.54E+15,346,22-Dec,TupÌ£
Trula Buehler,5.46E+15,700,Oct-33,Tucano
Peggy W Castro,4.99E+15,54,Oct-33,TubarÌ£o
Keenan Gupta,6.01E+15,365,17-Jul,Trindade
Virginia U Rollins,5.30E+15,458,Apr-31,TrÌ»s Rios
Lonnie G Buckman,4.58E+15,327,26-Dec,TrÌ»s Pontas
Alice Ellison,6.56E+15,563,13-Dec,TrÌ»s Passos
Deneen M Renz,3.03E+13,91,30-Oct,TrÌ»s Lagoas
Daniel E Watts,3.03E+13,737,22-Apr,TrÌ»s de Maio
Evelin R Razo,3.56E+15,482,Jun-31,TrÌ»s Coroas
Edith T Hatfield,3.00E+13,150,28-Dec,TrÌ»s CoraÌ¤Ìµes
Joan M Anders,3.04E+13,319,25-Dec,TremembÌ©
Denise Preston,6.56E+15,538,Apr-37,TramandaÌ_
Timothy V Beech,3.53E+15,566,22-Apr,Torres
Lillian H Bowers,5.46E+15,69,10-Aug,Toledo
Lyndia R Mcinnis,3.59E+15,177,27-Jan,Tobias Barreto
Joshua R Dickson,5.29E+15,179,13-Sep,TimÌ_teo
Barbera R Aguilera,3.62E+13,931,27-Apr,TimbÌ_
Leo Terry,5.49E+15,829,29-Dec,Tijucas
Otto I Hamby,3.48E+14,5949,16-Dec,TietÌ»
Marilyn F Kelly,4.90E+15,610,24-Mar,TeutÌ«nia
Felton B Clark,3.77E+14,546,24-Apr,TeresÌ_polis
Katherine Osborn,5.45E+15,886,13-Sep,TeÌ_filo Otoni
Juliet Beveridge,3.76E+14,8774,26-May,Teodoro Sampaio
Audrey A Graham,3.55E+15,546,21-Feb,TelÌ»maco Borba
Willow Carrell,6.44E+15,348,21-Feb,TaubatÌ©
Kimberly H Garcia,3.06E+13,148,27-Aug,TatuÌ_
Shantell R Seiler,3.55E+15,17,24-May,Taquarituba
Nicholas F Britt,5.50E+15,364,20-Nov,Taquaritinga
Ingeborg M Ginsberg,3.56E+15,350,Apr-33,Taquari
Regina M Rocha,4.45E+15,215,May-35,Taquara
Lu Olivo,3.09E+13,139,16-Sep,TapiramutÌÁ
Kenneth Mccoy,6.01E+15,698,23-Nov,Tapes
Ferdinand P Liles,3.03E+13,98,28-Dec,TanguÌÁ
Patrick T Sullivan,5.45E+15,264,Apr-36,Tanabi
Jayson V Norvell,3.57E+15,569,20-May,TambaÌ¼
Lloyd Bauer,4.27E+15,851,Nov-33,Taiobeiras
Jamila S Burnett,3.02E+13,612,27-Aug,TaboÌ£o da Serra
Stanley B Rivas,3.59E+15,541,12-Feb,Suzano
Darby Q Noah,5.11E+15,985,Dec-35,SumarÌ©
Chad Haley,6.01E+15,402,20-Jan,Sorocaba
Luna Bolanos,4.04E+15,56,27-Sep,Soledade
Leroy Maxwell,3.43E+14,1343,15-Oct,Socorro
Dominica Y Edson,3.44E+14,7558,18-Dec,Sobradinho
Sara R Snider,6.22E+15,897,25-Oct,SimÌ£o Dias
Joshua E Adames,3.54E+15,743,23-Mar,Silva Jardim
Renee G Sharp,4.64E+15,204,26-Sep,SidrolÌ¢ndia
Wilson Kohl,6.01E+15,831,Aug-33,Sete Lagoas
Rodney Walton,5.46E+15,274,10-May,SertÌ£ozinho
Catherina J Miceli,3.72E+14,1179,27-Jan,Serrinha
Lloyd X Roberts,3.40E+14,9040,27-Jul,Serra Negra
Dusty Newson,3.73E+14,2938,22-Jun,Serrana
Gail Q Flores,5.19E+15,825,23-Mar,Serra
Josefa Sweet,5.22E+15,955,26-Jun,SeropÌ©dica
Beverly Shelton,3.54E+15,234,11-May,Senhor do Bonfim
Enoch Ramsdell,3.03E+13,637,25-Feb,Senador Canedo
Travis Y Morris,4.59E+15,624,16-Apr,Seabra
Janie X Dalessandro,6.01E+15,63,17-Apr,Schroeder
Lisa L Lara,3.54E+15,204,28-Apr,Saubara
Reinaldo O Helmer,3.43E+14,7420,22-Jan,Sarzedo
Beatrice D Price,6.48E+15,475,27-Jun,Sarandi
Leon B Caswell,4.40E+15,897,27-May,Sarandi
April Rasmussen,3.09E+13,347,24-Mar,Saquarema
Stephania C Ledbetter,5.30E+15,718,17-Sep,Sapucaia
Stanley Oneil,3.05E+13,153,22-Aug,Sapiranga
Ashton Pipkin,6.23E+15,488,26-May,SÌ£o Vicente
Donald Chambers,3.71E+14,4419,30-Aug,SÌ£o SepÌ©
Tifany Q Crow,5.40E+15,995,26-Mar,SÌ£o SebastiÌ£o do PassÌ©
Theodore I Dominguez,5.46E+15,129,Oct-32,SÌ£o SebastiÌ£o do ParaÌ_so
Everette Hutchens,6.01E+15,940,28-Dec,SÌ£o SebastiÌ£o do CaÌ_
Gary E Hunt,3.03E+13,521,24-Dec,SÌ£o SebastiÌ£o
Gillian Rosenberry,4.51E+15,890,19-Aug,SÌ£o Roque
Charlie B Gilmore,3.42E+14,3179,27-Mar,SÌ£o Pedro da Aldeia
Destiny U Fulford,5.26E+15,41,Feb-34,SÌ£o Pedro
Jean Q Schneider,3.58E+15,595,17-Mar,SÌ£o Paulo
Autumn H Culler,3.56E+15,266,26-Apr,SÌ£o Miguel do IguaÌ¤u
Dale M Ruiz,3.54E+15,772,23-Mar,SÌ£o Miguel do Araguaia
Kacie X Mead,3.05E+13,828,25-Apr,SÌ£o Mateus do Sul
Ralph Prince,3.05E+13,909,16-Jun,SÌ£o Mateus
Larry Nixon,5.42E+15,554,9-Jul,SÌ£o Marcos
Sylvia X Perry,3.89E+13,104,21-Feb,SÌ£o Manuel
Clelia N Simpson,6.01E+15,788,20-Oct,SÌ£o Luiz Gonzaga
Alice Jackson,5.50E+15,678,Sep-37,SÌ£o LuÌ_s de Montes Belos
Carter Michaels,3.55E+15,4,22-Oct,SÌ£o LourenÌ¤o do Sul
Vernon O Quinn,6.01E+15,264,31-Jan,SÌ£o LourenÌ¤o
Jeremiah M Mccann,3.04E+13,775,17-May,SÌ£o Leopoldo
Lillian Knapp,3.56E+15,248,21-Oct,SÌ£o JosÌ© dos Pinhais
Herma W Elliott,3.56E+15,462,27-Jun,SÌ£o JosÌ© dos Campos
Brandon J Johnson,3.55E+15,852,Jun-34,SÌ£o JosÌ© do Rio Preto
Kiera K Faulk,5.20E+15,30,28-Sep,SÌ£o JosÌ© do Rio Pardo
Timothy K Mccarthy,5.39E+15,836,15-Dec,SÌ£o JosÌ©
Otha Reddick,4.21E+15,148,31-May,SÌ£o Joaquim da Barra
April P Hoover,3.71E+14,5988,22-Dec,SÌ£o Joaquim
Mariah Rosas,4.22E+15,171,15-Dec,SÌ£o JoÌ£o Nepomuceno
Leo B Knox,4.69E+15,765,26-Apr,SÌ£o JoÌ£o de Meriti
Isabella Sikora,3.75E+14,7742,24-Sep,SÌ£o JoÌ£o del Rei
Cindy X Singleton,5.41E+15,864,27-Sep,SÌ£o JoÌ£o da Boa Vista
Alene Schoonmaker,6.01E+15,380,27-Jun,SÌ£o JoÌ£o da Barra
Cheryl O Carroll,5.11E+15,337,26-May,SÌ£o JerÌ«nimo
Corrinne O Scribner,3.83E+13,722,26-Sep,SÌ£o Gotardo
Alvin O Berg,5.25E+15,182,Nov-32,SÌ£o GonÌ¤alo do SapucaÌ_
Marcelo J Block,3.57E+15,604,25-Jan,SÌ£o Gabriel
Lawrence Bright,3.42E+14,419,22-Oct,SÌ£o Francisco do Sul
Keven T Elmer,3.06E+13,719,12-Nov,SÌ£o Francisco do Conde
Todd B Quinn,3.05E+13,995,16-Jan,SÌ£o Francisco
Alton L Connelly,4.13E+15,153,30-Nov,SÌ£o FidÌ©lis
Connie Nunez,4.97E+15,85,20-Dec,SÌ£o CristÌ_vÌ£o
Magdalena Nilsson,4.57E+15,628,18-Jun,SÌ£o Carlos
Carmen Mack,3.05E+13,382,14-Jul,SÌ£o Caetano do Sul
Vince I Thigpen,5.26E+15,724,23-May,SÌ£o Borja
Sue Roy,4.22E+15,897,21-Dec,SÌ£o Bernardo do Campo
Allena O Kincaid,6.01E+15,506,13-Jan,SÌ£o Bento do Sul
Donna Fuentes,4.03E+15,873,22-May,Santos Dumont
Karin E Stauffer,5.44E+15,13,18-Nov,Santos
Mike Z Barrera,5.32E+15,225,16-Apr,Santo EstÌ»vÌ£o
Kenneth Q Mascarenas,4.79E+15,945,15-Jul,Santo AntÌ«nio do Monte
Elizabeth F Hogan,4.62E+15,868,13-Jul,Santo AntÌ«nio do Amparo
Leroy Cha,4.37E+15,832,22-Oct,Santo AntÌ«nio de Posse
Tom Castaneda,4.70E+15,64,24-Mar,Santo AntÌ«nio de PÌÁdua
Selina W Rodney,6.01E+15,359,18-May,Santo AntÌ«nio de Jesus
Jamie M Mckenzie,3.01E+13,142,Mar-32,Santo AntÌ«nio da Platina
Albertine E Argo,6.01E+15,786,24-Aug,Santo Ìângelo
Albert F Figueroa,3.04E+13,851,28-Apr,Santo AndrÌ©
Rosann U Vanburen,6.53E+15,800,29-Oct,Santo AnastÌÁcio
Doris Z Klein,4.39E+15,935,27-Apr,Santo Amaro da Imperatriz
Shalon P Hibbs,6.22E+15,177,23-Nov,Santo Amaro
Lucille Richardson,5.26E+15,359,17-Oct,Santiago
Lelah M Davis,3.55E+15,149,27-Sep,Santa VitÌ_ria do Palmar
Louis V Curtis,4.38E+15,919,21-Jul,Santa Rosa de Viterbo
Heath I Steven,4.93E+15,667,24-Aug,Santa Rosa
Philip F Hudson,3.48E+14,733,21-Jun,Santa Rita do SapucaÌ_
Marybelle Carbaugh,6.23E+15,429,20-Apr,Santa Rita do Passa Quatro
Maurice O Malone,3.48E+14,419,20-Apr,Santana do ParaÌ_so
Gwyneth Soule,3.76E+14,2232,24-Jul,Santana do Livramento
Beth A Craft,6.01E+15,230,30-Aug,Santana de ParnaÌ_ba
Janna Z Huth,4.83E+15,656,21-Oct,Santa Maria da VitÌ_ria
Johnny K Noble,3.55E+15,765,27-Mar,Santa Maria
Manuel Echeverria,5.22E+15,198,28-Apr,Santa Luzia
Susan G Mathis,3.78E+14,4845,23-Oct,Santaluz
Jesusita Ream,3.56E+15,612,16-Jan,Santa Isabel
Loretta A Harper,6.01E+15,167,16-Sep,Santa Helena de GoiÌÁs
Jesusa A Countryman,3.76E+14,7692,Mar-36,Santa Gertrudes
Ann Z Glass,3.06E+13,481,24-Jul,Santa FÌ© do Sul
Demetrius I Marcano,3.01E+13,134,Jan-36,Santa Cruz do Sul
Lawrence H Weber,3.72E+14,748,17-Aug,Santa Cruz do Rio Pardo
Sherman Herr,3.03E+13,663,22-Aug,Santa Cruz das Palmeiras
Ellen B Hester,3.70E+14,7789,Jan-33,Santa Cruz CabrÌÁlia
Vernia Timms,6.01E+15,105,Apr-31,Santa CecÌ_lia
Michelle F Bender,3.04E+13,872,26-Oct,Santa BÌÁrbara d'Oeste
Mica P Ripley,5.18E+15,677,17-Jul,Salvador
Yvonne Saunders,6.01E+15,774,13-Nov,Salto de Pirapora
Dan A Kittle,3.48E+14,1122,11-Jan,Salto
Amanda K Riddle,5.12E+15,894,22-Nov,Salinas
Marguerite O Lasalle,4.62E+15,967,20-Jun,Sacramento
Rhonda Z Mcknight,4.68E+15,541,25-Dec,Ruy Barbosa
Kristie M Levasseur,3.02E+13,34,25-Jan,Rubiataba
Stanley U Pate,6.44E+15,141,22-Jun,RosÌÁrio do Sul
Alberta C Yu,5.31E+15,584,17-Jan,RondonÌ_polis
Herbert T Martin,3.79E+14,3682,19-Dec,Rolante
Jc X Rickman,4.21E+15,977,24-Oct,RolÌ¢ndia
Florence Hahn,6.22E+15,494,Jul-32,Rio Verde de Mato Grosso
Lakisha R Bickerstaff,3.53E+15,599,17-Feb,Rio Real
Bill Ochoa,3.54E+15,435,12-Jun,Rio Pardo
Marth Natal,3.55E+15,955,26-Oct,Rio Negro
Kristen Chandler,6.01E+15,733,10-Nov,Rio Negrinho
Francesco M Dansby,3.45E+14,5959,12-May,Rio Grande da Serra
Roy M Mcclain,3.49E+14,436,30-Nov,Rio Grande
Coy F Radcliffe,3.54E+15,558,29-Jun,Rio do Sul
Jack Hampton,3.74E+14,6988,Feb-30,Rio de Janeiro
Alene Nolasco,3.56E+15,744,10-Nov,Rio das Pedras
Harry X Cantu,5.43E+15,228,13-May,Rio das Ostras
Johnson U Hallett,3.75E+14,5116,26-Oct,Rio Claro
Julie T Martinez,6.50E+15,778,14-Sep,Rio Brilhante
Inocencia N Reinke,6.01E+15,476,26-Sep,Rio Branco do Sul
Christina Butler,5.15E+15,921,31-May,Rio Bonito
Ralph T Enciso,3.54E+15,247,23-Oct,RibeirÌ£o Preto
Danielle Z Foley,3.53E+15,163,May-36,RibeirÌ£o Pires
Chi Z Gowen,4.84E+15,555,Jun-33,RibeirÌ£o das Neves
Dorothy Casey,4.89E+15,17,26-Jul,RibeirÌ£o da Ilha
Blaine P Flick,6.01E+15,146,19-Aug,Ribeira do Pombal
Lucille U Rodriquez,6.60E+15,844,24-Sep,RiachÌ£o do JacuÌ_pe
Nereida S Midgett,5.13E+15,177,21-Aug,Resplendor
Jay S Holman,3.41E+14,4052,22-Dec,Resende
Scottie G Durrett,3.06E+13,955,21-Jul,Registro
Ricardo Warren,5.18E+15,487,25-Feb,Regente FeijÌ_
Dalton O Marcotte,3.57E+15,725,24-Jul,Rancharia
Jesus Ortega,3.76E+14,2660,Nov-34,QuirinÌ_polis
Genna R Gwinn,5.17E+15,904,30-Aug,Queimados
Brittany Q Padilla,5.17E+15,831,9-Jun,Quatro Barras
Val T Hopson,3.42E+14,2227,May-35,QuaraÌ_
Nathan O Gilmore,5.39E+15,229,23-Jan,PrudentÌ_polis
Lissa J Clyburn,6.01E+15,140,25-Feb,PropriÌÁ
Sylvia Gomez,3.02E+13,742,12-May,PromissÌ£o
Cassondra Coppage,3.05E+13,815,18-Apr,Presidente Venceslau
Kathleen Boyle,3.10E+13,5,28-Feb,Presidente Prudente
Frances Pigg,4.35E+15,360,13-Aug,Presidente EpitÌÁcio
Josephine R Pickett,3.05E+13,403,30-Aug,Prata
Tyron F Knisley,6.01E+15,236,27-Apr,Praia Grande
Jose Burt,4.23E+15,749,16-Aug,Prado
Jordon X Cortez,6.01E+15,842,22-Jan,Pouso Alegre
Hazel B Hebert,5.29E+15,79,25-Mar,Posse
Winnie Salem,3.04E+13,848,27-Oct,Porto UniÌ£o
Jean D Riggs,3.04E+13,723,30-Jun,Porto Seguro
Stephani E Flemming,3.55E+15,810,20-Feb,Porto Ferreira
Norma B Gaines,4.72E+15,544,21-Jun,Porto Feliz
Seymour Maness,6.01E+15,350,24-Aug,Porto Alegre
Tim U Vazquez,3.05E+13,741,21-Aug,PortÌ£o
Nelson D Rocco,5.34E+15,978,19-Apr,Porangatu
Tammy J Phillips,3.55E+15,471,27-Jan,Pontes e Lacerda
Gabriela J Schofield,5.22E+15,91,23-Aug,Ponte Nova
Mary V Horne,6.01E+15,275,22-Jul,Ponta PorÌ£
Ian R Simas,3.85E+13,352,27-Feb,Pontal
Lloyd Z Stout,3.02E+13,326,12-Apr,Ponta Grossa
Arden O Peoples,6.01E+15,486,18-Sep,PompÌ©u
Elaine Y Rush,6.22E+15,368,30-Aug,PompÌ©ia
Abram R Kiger,3.42E+14,5852,31-Dec,Pomerode
Florence F Sampson,3.54E+15,495,31-Mar,PoÌ¤os de Caldas
Walter L Brockington,3.54E+15,691,29-Mar,PoconÌ©
Stacy O Willis,3.76E+14,1256,21-Jul,PoÌ¤Ìµes
Juan Cothran,3.00E+13,468,11-Mar,PoÌÁ
Margaret S Foreman,6.01E+15,284,Apr-35,Planaltina
Felix T Montano,3.53E+15,356,21-Jul,PiÌ¼ma
Carrie Q Irwin,5.50E+15,969,12-Feb,PiuÌ_
Lonny F Gladden,4.92E+15,160,17-Oct,Pitangui
Curtis Bradford,3.50E+14,1632,20-Apr,Pitangueiras
Stefan O Heffernan,3.56E+15,125,31-Jul,Pitanga
Lester Moss,4.85E+15,296,17-Mar,Piritiba
Alex Poulos,3.02E+13,71,Jun-32,Pires do Rio
Jorge Aguilar,3.54E+15,7,23-Jul,Piraquara
Lynda Cardinal,5.32E+15,682,24-Apr,Pirapozinho
Bryan D Atkinson,6.01E+15,718,29-Feb,Pirapora
Xavier Y Ervin,6.01E+15,504,30-Jul,PirajuÌ_
Wayne I Banks,4.55E+15,942,21-Dec,Piraju
Thomasina I Ewell,5.19E+15,235,20-Jul,PiraÌ_ do Sul
Cheryl B Jones,3.01E+13,896,17-Sep,PiraÌ_
Hillary Partain,3.03E+13,30,14-Oct,Pirassununga
Gilbert X Bailey,5.45E+15,312,27-Dec,Piracicaba
Arlena B Scholl,4.23E+15,317,24-Dec,Piracanjuba
Chris Q Roberson,6.01E+15,750,19-Aug,Piracaia
Maryam P Westerman,5.36E+15,235,16-Aug,Pinheiral
Joshua Fields,3.02E+13,742,12-Feb,PinhÌ£o
Mellie P Rascon,3.50E+14,9259,Jul-35,EspÌ_rito Santo do Pinhal
Nicholas N Randolph,6.01E+15,15,19-Nov,PindobaÌ¤u
Kristle X Whorton,3.71E+14,1085,17-May,Pindamonhangaba
Stanley L Cox,6.01E+15,704,28-Jul,Pilar do Sul
Ada S Keeler,3.02E+13,658,26-Sep,Piedade
Brittany N Burks,4.35E+15,190,23-Apr,PetrÌ_polis
Amber Manis,4.87E+15,407,25-May,PeruÌ_be
Joseph I Lynch,4.70E+15,298,27-Sep,Pereira Barreto
Ferdinand Baskin,3.01E+13,574,26-Nov,PerdÌµes
Aaron H Randall,4.39E+15,810,15-Oct,Penha
Leighann Carruthers,3.57E+15,746,29-Apr,Penedo
Norma Lindsey,6.01E+15,216,Oct-34,PenÌÁpolis
Kyle Mccabe,6.01E+15,467,24-Jun,Pelotas
Bradley S Schneider,6.01E+15,11,Aug-32,Pedro Leopoldo
Leanne A Negron,6.01E+15,115,24-Nov,Pedreira
Marilyn G Wilkinson,3.05E+13,812,28-Nov,Pedra Azul
Arthur P Mccafferty,3.00E+13,333,25-Mar,Pederneiras
Jennifer K Brooks,3.10E+13,178,14-Jun,PaulÌ_nia
Maryln M Post,4.62E+15,754,18-Nov,PatrocÌ_nio
Jon Howell,3.47E+14,1036,23-Jul,Patos de Minas
Sebrina U Kellner,6.01E+15,21,20-Feb,Pato Branco
Maurice N Kinney,5.14E+15,28,13-Aug,Paty do Alferes
Otis J Wiegand,5.27E+15,19,20-Feb,Passos
Josephine H Hamilton,4.03E+15,896,22-Nov,Passo Fundo
Eugene B Mcneill,3.44E+14,9950,22-May,ParobÌ©
Sylvia Elliott,6.01E+15,709,18-Nov,Paraty
Lynn Scrivner,3.74E+14,3679,19-Apr,ParanavaÌ_
Debra U Le,3.47E+14,7855,22-Mar,Paranapanema
Tobi H Boudreaux,4.63E+15,689,23-Jun,ParanaÌ_ba
Curtis E Banks,3.01E+13,935,28-Jul,ParanaguÌÁ
Carmine B Jewett,4.81E+15,602,30-Dec,ParaÌ_ba do Sul
Bernice N Lynn,6.01E+15,418,22-Feb,ParaguaÌ¤u Paulista
Lamar Watters,3.42E+14,2019,29-Jul,ParaguaÌ¤u
Clarence J Hendrix,5.40E+15,33,15-Feb,ParÌÁ de Minas
Nia D Dodson,3.57E+15,74,14-Jan,Paracatu
Lloyd O Horn,3.56E+15,69,13-Apr,Paracambi
Juan E Vincent,3.74E+14,8210,12-Jul,Panambi
Pamela Noble,6.01E+15,288,Jan-35,Palotina
Walton Z Drennen,3.79E+14,2383,18-Dec,Palmital
Ricky K Dalton,5.38E+15,807,17-Feb,Palmeira das MissÌµes
Robert Saddler,5.28E+15,730,28-Sep,Palmeira
Tracy U Fowler,4.25E+15,472,25-May,Palmas
Darnell Mobley,3.53E+15,271,21-Jul,PalhoÌ¤a
Tyler Oliver,3.78E+14,7843,Dec-32,PaiÌ¤andu
Jacquline L Webber,3.46E+14,9769,19-Dec,Padre Bernardo
Bryan Beasley,5.46E+15,400,12-Jul,Ouro Preto
Sherill Shamblin,4.10E+15,482,18-Jun,Ouro Branco
